date,name,startTime,endTime,stage
422,Harry Styles,11:35:00 PM,12:30:00 AM,0
422,Daniel Caesar,10:10:00 PM,10:55:00 PM,0
422,Lil Baby,8:25:00 PM,9:10:00 PM,0
422,Grupo Firme,7:10:00 PM,8:00:00 PM,0
422,Anitta,6:00:00 PM,6:45:00 PM,0
422,Ari Lennox,4:50:00 PM,5:35:00 PM,0
422,MIKA,3:40:00 PM,4:25:00 PM,0
422,Princess Nokia,2:35:00 PM,3:15:00 PM,0
422,King Gizzard and the Lizard Wizard,12:00:00 AM,1:00:00 AM,3
422,Louis the Child,10:40:00 PM,11:35:00 PM,3
422,Phoebe Bridgers,9:10:00 PM,10:10:00 PM,3
422,Madeon,7:40:00 PM,8:35:00 PM,3
422,NIKI,6:25:00 PM,7:10:00 PM,3
422,Omar Apollo,5:05:00 PM,5:50:00 PM,3
422,Bishop Briggs,4:00:00 PM,4:45:00 PM,3
422,The Hu,2:55:00 PM,3:35:00 PM,3
422,Yimbo,2:00:00 PM,2:30:00 PM,3
422,Ela Minus,10:10:00 PM,10:50:00 PM,5
422,Amyl & the Sniffers,9:00:00 PM,9:40:00 PM,5
422,PUP,7:20:00 PM,8:00:00 PM,5
422,Spiritualized,5:40:00 PM,6:40:00 PM,5
422,The Chats,4:35:00 PM,5:10:00 PM,5
422,Code Orange,3:30:00 PM,4:10:00 PM,5
422,Jean Dawson,2:30:00 PM,3:05:00 PM,5
422,Giselle Woo & the Night Owls,1:40:00 PM,2:10:00 PM,5
422,Jim Smith,12:00:00 PM,1:40:00 PM,5
422,BADBADNOTGOOD,12:05:00 AM,1:00:00 AM,1
422,EPIK HIGH,10:45:00 PM,11:35:00 PM,1
422,The Avalanches,9:25:00 PM,10:15:00 PM,1
422,TokiMonsta,8:10:00 PM,9:00:00 PM,1
422,slowthai,7:00:00 PM,7:45:00 PM,1
422,The Marías,5:50:00 PM,6:35:00 PM,1
422,Role Model,4:35:00 PM,5:20:00 PM,1
422,The Regrettes,3:20:00 PM,4:05:00 PM,1
422,Arooj Aftab,2:15:00 PM,2:55:00 PM,1
422,Torres Martinez,1:45:00 PM,2:00:00 PM,1
422,Lane 8,11:45:00 PM,1:00:00 AM,2
422,Snoh Aalegra,10:35:00 PM,11:20:00 PM,2
422,Pink Sweat$,9:25:00 PM,10:10:00 PM,2
422,IDLES,8:10:00 PM,9:00:00 PM,2
422,Arcade Fire,6:45:00 PM,7:45:00 PM,2
422,Carly Rae Jepsen,5:30:00 PM,6:15:00 PM,2
422,Still Woozy,4:25:00 PM,5:00:00 PM,2
422,Raveena,3:20:00 PM,4:00:00 PM,2
422,Lawrence,2:25:00 PM,2:55:00 PM,2
422,MEUTE,1:20:00 PM,2:00:00 PM,2
422,SLANDER,11:55:00 PM,1:00:00 AM,4
422,Big Sean,10:45:00 PM,11:30:00 PM,4
422,Baby Keem,9:35:00 PM,10:20:00 PM,4
422,Black Coffee,8:10:00 PM,9:10:00 PM,4
422,Cordae,7:05:00 PM,7:50:00 PM,4
422,City Girls,6:00:00 PM,6:45:00 PM,4
422,Dom Dolla,4:35:00 PM,5:35:00 PM,4
422,John Summit,3:35:00 PM,2:50:00 PM,4
422,Lost Kings,2:50:00 PM,3:35:00 PM,4
422,GG Magree,2:05:00 PM,2:50:00 PM,4
422,Venessa Michaels,1:25:00 PM,1:55:00 PM,4
422,ARTBAT,11:15:00 PM,12:00:00 AM,6
422,The Martinez Brothers,9:45:00 PM,11:15:00 PM,6
422,Peggy Gou,8:15:00 PM,9:45:00 PM,6
422,Damian Lazarus,6:45:00 PM,8:15:00 PM,6
422,Daphni,5:30:00 PM,6:45:00 PM,6
422,Purple Disco Machine,4:15:00 PM,5:30:00 PM,6
422,Jayda G,3:00:00 PM,4:15:00 PM,6
422,Logic1000,2:00:00 PM,3:00:00 PM,6
422,SOHMI,1:00:00 PM,2:00:00 PM,6
422,Dear Humans,12:00:00 PM,1:00:00 PM,6
423,Billie Eilish,11:30:00 PM,12:30:00 AM,0
423,Megan Thee Stallion,10:05:00 PM,10:50:00 PM,0
423,Flume,8:30:00 PM,9:35:00 PM,0
423,88rising,6:45:00 PM,8:05:00 PM,0
423,Giveon,5:30:00 PM,6:15:00 PM,0
423,Conan Gray,4:20:00 PM,5:05:00 PM,0
423,Masego,3:05:00 PM,3:55:00 PM,0
423,Koffee,2:00:00 PM,2:40:00 PM,0
423,Record Safari,1:15:00 PM,1:45:00 PM,0
423,Stromae,10:35:00 PM,12:00:00 AM,3
423,Danny Elfman,9:00:00 PM,10:00:00 PM,3
423,Disclosure,7:10:00 PM,8:25:00 PM,3
423,Cuco,5:50:00 PM,6:40:00 PM,3
423,Wallows,4:40:00 PM,5:25:00 PM,3
423,Beach Bunny,3:35:00 PM,4:20:00 PM,3
423,Chelsea Cutler,2:30:00 PM,3:10:00 PM,3
423,Gingee,1:45:00 PM,2:15:00 PM,3
423,Molchat Doma,9:15:00 PM,10:00:00 PM,5
423,black midi,8:00:00 PM,8:50:00 PM,5
423,Inner Wave,6:50:00 PM,7:30:00 PM,5
423,Mannequin Pussy,5:45:00 PM,6:25:00 PM,5
423,Nicki Nicole,4:40:00 PM,5:20:00 PM,5
423,Ed Maverick,3:30:00 PM,4:10:00 PM,5
423,Nilufer Yanya,2:30:00 PM,3:10:00 PM,5
423,Beach Goons,1:45:00 PM,2:15:00 PM,5
423,Yard Act,1:00:00 PM,1:30:00 PM,5
423,Buster Jarvis,12:00:00 PM,1:00:00 PM,5
423,Kyary Pamyu Pamyu,11:55:00 PM,1:00:00 AM,1
423,Hot Chip,10:50:00 PM,11:35:00 PM,1
423,Freddie Gibbs & Madlib,9:35:00 PM,10:25:00 PM,1
423,Pabllo Vittar,8:25:00 PM,9:10:00 PM,1
423,Caroline Polachek,7:15:00 PM,8:00:00 PM,1
423,Rina Sawayama,6:00:00 PM,6:45:00 PM,1
423,Arlo Parks,4:50:00 PM,5:35:00 PM,1
423,L'Impératrice,3:45:00 PM,4:25:00 PM,1
423,Current Joys,2:40:00 PM,3:20:00 PM,1
423,Alaina Castillo,1:35:00 PM,2:15:00 PM,1
423,Mark Lizaola,12:45:00 PM,1:15:00 PM,1
423,DJ Koze,11:40:00 PM,12:40:00 PM,2
423,Floating Points,10:45:00 PM,11:40:00 PM,2
423,Caribou,9:30:00 PM,10:25:00 PM,2
423,Steve Lacy,8:15:00 PM,9:00:00 PM,2
423,Turnstile,7:00:00 PM,7:50:00 PM,2
423,girl in red,5:50:00 PM,6:35:00 PM,2
423,Japanese Breakfast,4:40:00 PM,5:25:00 PM,2
423,Holly Humberstone,3:30:00 PM,4:15:00 PM,2
423,Amber Mark,2:20:00 PM,3:05:00 PM,2
423,Gee Dee,1:30:00 PM,2:00:00 PM,2
423,21 Savage,12:05:00 AM,1:05:00 AM,4
423,Isaiah Rashad,10:50:00 PM,11:35:00 PM,4
423,Rich Brian,9:40:00 PM,10:25:00 PM,4
423,BROCKHAMPTON,8:25:00 PM,9:15:00 PM,4
423,Tchami,7:15:00 PM,7:55:00 PM,4
423,100 gecs,6:10:00 PM,6:50:00 PM,4
423,Emo Nite,5:05:00 PM,5:50:00 PM,4
423,J.I.D.,4:00:00 PM,4:45:00 PM,4
423,Whipped Cream,2:55:00 PM,3:40:00 PM,4
423,VNSSA,2:10:00 PM,2:55:00 PM,4
423,DJ Lord,1:30:00 PM,2:10:00 PM,4
423,Latane from Fundido,12:45:00 PM,1:15:00 PM,4
423,Richie Hawtin,11:00:00 PM,12:00:00 AM,6
423,Dixon,9:00:00 PM,11:00:00 PM,6
423,Chris Liebing,7:30:00 PM,9:00:00 PM,6
423,ANNA,6:00:00 PM,7:30:00 PM,6
423,Paco Osuna,4:30:00 PM,6:00:00 PM,6
423,Sama' Abdulhadi,3:15:00 PM,4:30:00 PM,6
423,DJ Holographic,2:00:00 PM,3:15:00 PM,6
423,Layla,12:45:00 PM,2:00:00 PM,6
423,Miane,12:00:00 PM,12:45:00 PM,6
424,Swedish House Mafia x The Weeknd,10:20:00 PM,11:30:00 PM,0
424,Doja Cat,8:30:00 PM,9:30:00 PM,0
424,Karol G,7:00:00 PM,7:50:00 PM,0
424,Maggie Rogers,5:45:00 PM,6:30:00 PM,0
424,Run The Jewels,4:35:00 PM,5:20:00 PM,0
424,Banda MS,3:20:00 PM,4:10:00 PM,0
424,Surf Curse,2:15:00 PM,2:55:00 PM,0
424,Gabe Real,1:30:00 PM,2:00:00 PM,0
424,Jamie XX,9:30:00 PM,10:30:00 PM,3
424,Joji,7:40:00 PM,8:30:00 PM,3
424,Solomun,6:15:00 PM,7:15:00 PM,3
424,FINNEAS,5:05:00 PM,5:50:00 PM,3
424,Alec Benjamin,4:00:00 PM,4:40:00 PM,3
424,Yola,2:55:00 PM,3:35:00 PM,3
424,Mariah the Scientist,2:00:00 PM,2:35:00 PM,3
424,Dave P,1:10:00 PM,1:40:00 PM,3
424,Nathy Peluso,8:00:00 PM,8:50:00 PM,5
424,Eyedress,6:30:00 PM,7:10:00 PM,5
424,Crumb,5:25:00 PM,6:05:00 PM,5
424,Viagra Boys,4:20:00 PM,5:00:00 PM,5
424,Skegss,3:20:00 PM,4:00:00 PM,5
424,Altin Gün,2:20:00 PM,3:00:00 PM,5
424,Cariño,1:25:00 PM,1:55:00 PM,5
424,interventionboi,12:00:00 PM,1:25:00 PM,5
424,Belly,9:40:00 PM,10:40:00 PM,1
424,Natanael Cano,8:35:00 PM,9:15:00 PM,1
424,Ali Gatie,7:25:00 PM,8:10:00 PM,1
424,Chicano Batman,6:10:00 PM,7:00:00 PM,1
424,Orville Peck,5:00:00 PM,5:45:00 PM,1
424,beabadoobee,4:00:00 PM,4:40:00 PM,1
424,Hayden James,2:55:00 PM,3:40:00 PM,1
424,Samoa the Great,2:00:00 PM,2:35:00 PM,1
424,Massio,1:10:00 PM,1:40:00 PM,1
424,The Blessed Madonna + Honey Dijon,10:40:00 PM,11:40:00 PM,2
424,Jesse Reyez,9:40:00 PM,10:20:00 PM,2
424,Måneskin,8:30 PM,9:15:00 PM,2
424,Dave,7:15:00 PM,8:00:00 PM,2
424,Fred again...,6:05:00 PM,6:50:00 PM,2
424,Kim Petras,5:00:00 PM,5:40:00 PM,2
424,Emotional Oranges,3:50:00 PM,4:30:00 PM,2
424,Olivia O'Brien,2:45 PM,3:30:00 PM,2
424,Inglish,1:40:00 PM,2:15:00 PM,2
424,Denzel Curry,9:40:00 PM,10:40:00 PM,4
424,Duke Dumont,8:20:00 PM,9:15:00 PM,4
424,Duck Sauce,6:50:00 PM,7:50:00 PM,4
424,Vince Staples,5:35:00 PM,6:25:00 PM,4
424,Channel Tres,4:20:00 PM,5:05:00 PM,4
424,Griselda,3:15:00 PM,3:55:00 PM,4
424,Maxo Kream,2:05:00 PM,2:50:00 PM,4
424,Cre-8,1:15:00 PM,1:45:00 PM,4
424,Michale Bibi,10:00:00 PM,11:00:00 PM,6
424,Fatboy Slim,8:30:00 PM,10:00:00 PM,6
424,Bedouin,7:00:00 PM,8:30:00 PM,6
424,Satori,5:30:00 PM,7:00:00 PM,6
424,Adam Port,4:00:00 PM,5:30:00 PM,6
424,Luttrell,2:30:00 PM,4:00:00 PM,6
424,AMÉMÉ,1:00:00 PM,2:30:00 PM,6
424,Cole Knight,12:00:00 PM,1:00:00 PM,6